iter	Passed	Remaining
188	9675	21039
189	9722	20979
190	9770	20922
191	9816	20859
192	9858	20790
193	9905	20729
194	9954	20674
195	10001	20616
196	10051	20562
197	10101	20508
198	10146	20445
199	10198	20397
200	10240	20328
201	10296	20286
202	10347	20236
203	10401	20190
204	10448	20132
205	10481	20047
206	10518	19969
207	10562	19905
208	10606	19843
209	10646	19772
210	10691	19711
211	10743	19662
212	10790	19605
213	10844	19561
214	10893	19506
215	10943	19455
216	10996	19409
217	11044	19352
218	11083	19282
219	11136	19235
220	11185	19182
221	11272	19194
222	11333	19159
223	11394	19126
224	11445	19076
225	11497	19026
226	11542	18966
227	11591	18912
228	11638	18855
229	11685	18797
230	11728	18734
231	11778	18683
232	11823	18623
233	11865	18558
234	11919	18512
235	11976	18472
236	12024	18418
237	12071	18361
238	12121	18308
239	12184	18276
240	12229	18217
241	12274	18157
242	12315	18092
243	12364	18039
244	12411	17983
245	12449	17915
246	12485	17843
247	12524	17777
248	12566	17714
249	12613	17658
250	12657	17599
251	12705	17545
252	12753	17492
253	12800	17437
254	12841	17373
255	12881	17309
256	12938	17267
257	13000	17233
258	13043	17172
259	13090	17117
260	13141	17068
261	13195	17023
262	13233	16957
263	13289	16913
264	13348	16874
265	13433	16867
266	13490	16825
267	13537	16770
268	13585	16716
269	13631	16660
270	13676	16603
271	13726	16552
272	13775	16500
273	13821	16444
274	13871	16394
275	13932	16355
276	13981	16303
277	14031	16252
278	14077	16196
279	14119	16137
280	14170	16086
281	14222	16038
282	14269	15983
283	14314	15927
284	14360	15872
285	14407	15817
286	14454	15763
287	14504	15712
288	14553	15661
289	14606	15614
290	14646	15552
291	14685	15490
292	14730	15433
293	14770	15373
294	14809	15311
295	14850	15252
296	14897	15198
297	14943	15143
298	15002	15102
299	15052	15052
300	15102	15002
301	15157	14956
302	15206	14905
303	15251	14850
304	15292	14791
305	15341	14739
306	15383	14681
307	15427	14625
308	15473	14572
309	15555	14551
310	15615	14510
311	15670	14465
312	15722	14416
313	15778	14371
314	15833	14325
315	15880	14271
316	15932	14223
317	15975	14166
318	16023	14114
319	16072	14063
320	16118	14009
321	16166	13957
322	16216	13906
323	16269	13859
324	16315	13805
325	16366	13755
326	16419	13707
327	16460	13650
328	16506	13596
329	16554	13544
330	16605	13495
331	16656	13445
332	16700	13390
333	16743	13334
334	16783	13276
335	16822	13217
336	16865	13162
337	16906	13104
338	16949	13049
339	16998	12999
340	17058	12956
341	17106	12905
342	17158	12856
343	17211	12808
344	17258	12756
345	17310	12707
346	17351	12651
347	17392	12594
348	17447	12548
349	17492	12494
350	17538	12441
351	17573	12381
352	17626	12333
353	17667	12277
354	17711	12223
355	17754	12168
356	17811	12123
357	17908	12106
358	17973	12065
359	18031	12020
360	18080	11970
361	18124	11915
362	18170	11863
363	18222	11814
364	18278	11768
365	18323	11715
366	18367	11661
367	18410	11606
368	18452	11551
369	18496	11497
370	18544	11446
371	18591	11394
372	18637	11342
373	18691	11294
374	18743	11246
375	18784	11190
376	18824	11135
377	18860	11076
378	18904	11023
379	18954	10973
380	19006	10924
381	19054	10874
382	19106	10825
383	19155	10775
384	19198	10721
385	19244	10669
386	19293	10618
387	19340	10567
388	19387	10516
389	19439	10467
390	19487	10416
391	19540	10368
392	19591	10318
393	19648	10273
394	19699	10223
395	19737	10168
396	19780	10114
397	19834	10066
398	19911	10030
399	19967	9983
400	20014	9932
401	20070	9885
402	20128	9839
403	20177	9789
404	20230	9740
405	20281	9691
406	20327	9639
407	20374	9587
408	20421	9536
409	20467	9485
410	20515	9434
411	20563	9383
412	20606	9330
413	20648	9276
414	20701	9228
415	20752	9179
416	20792	9124
417	20846	9076
418	20893	9025
419	20937	8973
420	20984	8922
421	21033	8871
422	21085	8823
423	21137	8774
424	21183	8722
425	21219	8667
426	21262	8614
427	21310	8564
428	21363	8515
429	21412	8465
430	21454	8412
431	21500	8361
432	21553	8312
433	21619	8269
434	21686	8225
435	21744	8179
436	21794	8129
437	21847	8080
438	21890	8028
439	21933	7975
440	21974	7922
441	22042	7879
442	22128	7842
443	22198	7799
444	22257	7752
445	22318	7706
446	22369	7656
447	22412	7604
448	22456	7552
449	22499	7499
450	22542	7447
451	22591	7397
452	22635	7345
453	22676	7292
454	22716	7239
455	22754	7185
456	22797	7133
457	22844	7082
458	22885	7030
459	22923	6976
460	22963	6923
461	23005	6871
462	23052	6821
463	23121	6776
464	23187	6731
465	23248	6685
466	23294	6634
467	23348	6585
468	23395	6534
469	23445	6484
470	23495	6435
471	23551	6386
472	23603	6337
473	23643	6284
474	23694	6235
475	23743	6185
476	23784	6133
477	23827	6081
478	23876	6031
479	23926	5981
480	23966	5929
481	24018	5880
482	24056	5827
483	24096	5775
484	24150	5726
485	24219	5681
486	24284	5634
487	24344	5587
488	24400	5538
489	24451	5489
490	24499	5438
491	24547	5388
492	24602	5339
493	24650	5289
494	24707	5240
495	24755	5190
496	24799	5139
497	24848	5089
498	24901	5040
499	24946	4989
500	24994	4938
501	25041	4888
502	25087	4837
503	25136	4787
504	25190	4738
505	25240	4688
506	25276	4636
507	25318	4585
508	25357	4533
509	25406	4483
510	25456	4433
511	25503	4383
512	25541	4331
513	25581	4280
514	25620	4228
515	25658	4177
516	25697	4125
517	25736	4074
518	25781	4023
519	25834	3974
520	25883	3924
521	25932	3875
522	25982	3825
523	26039	3776
524	26122	3731
525	26192	3684
526	26239	3634
527	26305	3587
528	26409	3544
529	26513	3501
530	26590	3455
531	26659	3407
532	26717	3358
533	26777	3309
534	26848	3261
535	26908	3212
536	26970	3164
537	27041	3116
538	27117	3069
539	27174	3019
540	27224	2969
541	27271	2918
542	27315	2867
543	27361	2816
544	27407	2765
545	27453	2715
546	27498	2664
547	27542	2613
548	27591	2563
549	27640	2512
550	27688	2462
551	27733	2411
552	27781	2361
553	27824	2310
554	27862	2259
555	27906	2208
556	27952	2157
557	27993	2107
558	28037	2056
559	28084	2006
560	28135	1955
561	28184	1905
562	28229	1855
563	28272	1804
564	28319	1754
565	28367	1704
566	28418	1653
567	28464	1603
568	28517	1553
569	28586	1504
570	28692	1457
571	28755	1407
572	28815	1357
573	28876	1307
574	28932	1257
575	28981	1207
576	29028	1157
577	29076	1106
578	29136	1056
579	29197	1006
580	29254	956
581	29307	906
582	29358	856
583	29405	805
584	29446	755
585	29491	704
586	29534	654
587	29581	603
588	29634	553
589	29683	503
590	29720	452
591	29770	402
592	29819	352
593	29871	301
594	29923	251
595	29972	201
596	30025	150
597	30063	100
598	30106	50
599	30158	0
